品牌,名字,abs,冷却系统,汽缸数,图片,排量,价格,口碑
Adiva,Fortune 150,前后,水冷,单缸,http://imgs.jddmoto.com/square/20201216/20201216135249_t82y.jpg!square300?_1242_1242,150cc,21800,暂无
Adiva,AJ 201,前后,水冷,单缸,http://imgs.jddmoto.com/carport/20200731/20200731104506_hem2.jpg!square300?_1242_1242,200cc,27800,8.5
Adiva,STV,无,未知,未知,http://imgs.jddmoto.com/square/20210415/20210415151610_duno.jpg!square300?_1242_1242,未知,39800,暂无
Adiva,AD1 200,前后,水冷,单缸,http://imgs.jddmoto.com/carport/20200731/20200731104405_5hry.jpg!square300?_1242_1242,188cc,39800,7.2
Adiva,AD2 400,无,水冷,单缸,http://file.jddmoto.com/group2/M00/00/BE/CngAEl1CsoOAeStiAAEw5E1wqyY156_300.jpg?_1242_1242,399cc,暂无,暂无
Adiva,AD3 400,前后,水冷,单缸,http://imgs.jddmoto.com/carport/20200731/20200731104435_6tex.jpg!square300?_1242_1242,400cc,69800,7.4
Arch,KRGT-1,有,风冷,双缸,http://imgs.jddmoto.com/carport/20200812/20200812144034_4td8.jpg!square300?_1242_1242,2030cc,暂无,暂无
Arch,1S,有,风冷,双缸,http://imgs.jddmoto.com/carport/20200228/20200228134444_ijyg.jpeg!square300?_1242_1242,2030cc,暂无,暂无
Arch,Method 143,有,风冷,双缸,http://imgs.jddmoto.com/carport/20200812/20200812144054_nq5d.jpg!square300?_1242_1242,2340cc,暂无,暂无
Ariel,Ace,无,未知,四缸,http://imgs.jddmoto.com/carport/20200812/20200812144138_p3hs.jpg!square300?_1242_1242,1237cc,暂无,8.5
阿普利亚,RSV 4R APRC,无,水冷,双缸,https://file.jddmoto.com/group1/M00/72/22/CngBC10B7veAPM5XAAF_WuACJdA366.jpg?_1242_1242,999.6cc,暂无,暂无
阿普利亚,RS 125 Max Biaggi Black,无,水冷,单缸,https://file.jddmoto.com/group1/M00/71/DE/CngBC10BumaAcqGkAAFx7PfbmUw679.jpg?_1242_1242,124.8cc,暂无,暂无
阿普利亚,AF1 125 Sintesi,无,水冷,单缸,https://file.jddmoto.com/group1/M00/71/4E/CngBC10Ay06AFvK2AAFYTuqs6A4770.jpg?_1242_1242,124.7cc,暂无,暂无
阿普利亚,AF1 125 Futura,无,水冷,单缸,https://file.jddmoto.com/group1/M00/63/E7/CngAwF0Ayc-AYwW3AAGb8r8n0eE777.jpg?_1242_1242,未知,暂无,暂无
阿普利亚,RSW250,无,未知,未知,https://file.jddmoto.com/group1/M00/62/C0/CngAwFz_bMqAQdfnAAGeINBHpI4996.jpg?_1242_1242,未知,暂无,8.6
阿普利亚,RSV 1000R,无,水冷,未知,https://file.jddmoto.com/group1/M00/70/24/CngBC1z_bDSAVBE7AAE2ZVpXFxo848.jpg?_1242_1242,"997,62cc",暂无,暂无
阿普利亚,RSV 1000R Factory,无,水冷,未知,https://file.jddmoto.com/group1/M00/62/BF/CngAwFz_bCqAR6UMAAE1o4sDwwE741.jpg?_1242_1242,"997,62cc",暂无,暂无
阿普利亚,RSV 1000 Mille R Edwards Replica,无,水冷,双缸,http://file.jddmoto.com/group2/M00/10/74/CngARF1VCt6AEyzaAAGuC23MK0c613_300.jpg?_1242_1242,997.6cc,暂无,暂无
阿普利亚,RSV 1000 Mille R Nera,无,水冷,双缸,http://file.jddmoto.com/group2/M00/10/73/CngAEl1VCrGAQImWAAFxnUXeQnk659_300.jpg?_1242_1242,997.6cc,暂无,暂无
阿普利亚,RSV 1000 Mille R Bol D'or,无,水冷,双缸,https://file.jddmoto.com/group1/M00/72/2C/CngBC10B9MKAJtSxAAGS1NuRGts361.jpg?_1242_1242,997.6cc,暂无,暂无
阿普利亚,RS 125 Nero,无,水冷,单缸,https://file.jddmoto.com/group1/M00/71/DE/CngBC10BupWAazsDAAGExwpdS1g574.jpg?_1242_1242,124.8cc,暂无,暂无
阿普利亚,RS 125 Lorenzo Replica,无,水冷,单缸,https://file.jddmoto.com/group1/M00/71/DE/CngBC10BueOAIhkeAAFq5y2HIXo495.jpg?_1242_1242,124.8cc,暂无,暂无
阿普利亚,RS 125 Pista,无,水冷,单缸,https://file.jddmoto.com/group1/M00/64/7C/CngAwF0BusSASzQbAAFHWwXAZoM328.jpg?_1242_1242,124.8cc,暂无,暂无
